offer_id,name_of_redeem,redeem_type,keycard_point_reward,cost,offer-description,imageOverride,imageOverrideSize,tags,,,
#REDEEM,,,,,,,,,,,
uaf_points1,Survey Data Redeem I,SURVEY,20,survey_data_1:1:RESOURCES,Dive into our special deal at the Keycard Shop! Your valuable survey data is now a key to unlocking treasures. Join this unique exchange program where your insights pave the way to riches. It's simple: your data for our coins. Become a part of this exciting opportunity and turn your knowledge into rewards. Don't miss out – your adventure awaits in every piece of data shared!,survey1,"150,150",,,,
uaf_points2,Survey Data Redeem II,SURVEY,60,survey_data_2:1:RESOURCES,Dive into our special deal at the Keycard Shop! Your valuable survey data is now a key to unlocking treasures. Join this unique exchange program where your insights pave the way to riches. It's simple: your data for our coins. Become a part of this exciting opportunity and turn your knowledge into rewards. Don't miss out – your adventure awaits in every piece of data shared!,survey2,"150,150",,,,
uaf_points3,Survey Data Redeem III,SURVEY,100,survey_data_3:1:RESOURCES,Dive into our special deal at the Keycard Shop! Your valuable survey data is now a key to unlocking treasures. Join this unique exchange program where your insights pave the way to riches. It's simple: your data for our coins. Become a part of this exciting opportunity and turn your knowledge into rewards. Don't miss out – your adventure awaits in every piece of data shared!,survey3,"150,150",,,,
uaf_points4,Survey Data Redeem IV,SURVEY,200,survey_data_4:1:RESOURCES,Dive into our special deal at the Keycard Shop! Your valuable survey data is now a key to unlocking treasures. Join this unique exchange program where your insights pave the way to riches. It's simple: your data for our coins. Become a part of this exciting opportunity and turn your knowledge into rewards. Don't miss out – your adventure awaits in every piece of data shared!,survey4,"150,150",,,,
uaf_points5,Survey Data Redeem V,SURVEY,600,survey_data_5:1:RESOURCES,Dive into our special deal at the Keycard Shop! Your valuable survey data is now a key to unlocking treasures. Join this unique exchange program where your insights pave the way to riches. It's simple: your data for our coins. Become a part of this exciting opportunity and turn your knowledge into rewards. Don't miss out – your adventure awaits in every piece of data shared!,survey5,"150,150",,,,
uaf_keycard_to_points1,Keycard Redeem I,KEYCARD,1600,uaf_keycard_orange:1:SPECIAL,Dive into our special deal at the Keycard Shop! Your valuable survey data is now a key to unlocking treasures. Join this unique exchange program where your insights pave the way to riches. It's simple: your data for our coins. Become a part of this exciting opportunity and turn your knowledge into rewards. Don't miss out – your adventure awaits in every piece of data shared!,card1,"150,150",,,,
uaf_keycard_to_points2,Keycard Redeem II,KEYCARD,2400,uaf_keycard_violet:1:SPECIAL,Dive into our special deal at the Keycard Shop! Your valuable survey data is now a key to unlocking treasures. Join this unique exchange program where your insights pave the way to riches. It's simple: your data for our coins. Become a part of this exciting opportunity and turn your knowledge into rewards. Don't miss out – your adventure awaits in every piece of data shared!,card2,"150,150",,,,
uaf_keycard_to_points3,Keycard Redeem III,KEYCARD,4000,uaf_keycard_green:1:SPECIAL,Dive into our special deal at the Keycard Shop! Your valuable survey data is now a key to unlocking treasures. Join this unique exchange program where your insights pave the way to riches. It's simple: your data for our coins. Become a part of this exciting opportunity and turn your knowledge into rewards. Don't miss out – your adventure awaits in every piece of data shared!,card3,"150,150",,,,
uaf_keycard_to_points4,Keycard Redeem IV,KEYCARD,5600,uaf_keycard_blue:1:SPECIAL,Dive into our special deal at the Keycard Shop! Your valuable survey data is now a key to unlocking treasures. Join this unique exchange program where your insights pave the way to riches. It's simple: your data for our coins. Become a part of this exciting opportunity and turn your knowledge into rewards. Don't miss out – your adventure awaits in every piece of data shared!,card4,"150,150",,,,
uaf_keycard_to_points5,Keycard Redeem V,KEYCARD,8000,uaf_keycard_red:1:SPECIAL,Dive into our special deal at the Keycard Shop! Your valuable survey data is now a key to unlocking treasures. Join this unique exchange program where your insights pave the way to riches. It's simple: your data for our coins. Become a part of this exciting opportunity and turn your knowledge into rewards. Don't miss out – your adventure awaits in every piece of data shared!,card5,"150,150",,,,
